,store,address,latitude,longitude,isReserve,review
192,스타벅스 애오개역점,"서울특별시 마포구 마포대로 201, 마포트라팰리스II (아현동)",37.55218737,126.9555203,general,266.0
193,스타벅스 상암DMC점,"서울특별시 마포구 월드컵북로 375, DMC이안오피스텔1단지 102호,202호 (상암동)",37.577623,126.890684,general,367.0
194,스타벅스 마포일진빌딩점,"서울특별시 마포구 마포대로 45, 일진빌딩 1층 (도화동)",37.54043451,126.9463168,general,443.0
195,스타벅스 마포아크로점,서울특별시 마포구 마포대로 68 (도화동) 마포아크로타워,37.54145556,126.948819,general,311.0
196,스타벅스 홍대삼거리점,서울특별시 마포구 와우산로 64 (상수동),37.550266,126.923179,general,259.0
197,스타벅스 망원역점,서울특별시 마포구 월드컵로 74 (서교동),37.555829,126.910637,general,771.0
198,스타벅스 마포이마트점,서울특별시 마포구 백범로 212 (신공덕동) 마포이마트,37.542421,126.953341,general,262.0
199,스타벅스 합정메세나몰점,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)",37.551004,126.913848,general,412.0
200,스타벅스 홍대역8번출구점,서울특별시 마포구 양화로 166 (동교동),37.556743503599,126.924166543608,general,81.0
201,스타벅스 가재울뉴타운점,서울특별시 서대문구 가재울미래로 2 ,37.5749841,126.9164441,general,519.0
202,스타벅스 남가좌사거리점,"서울특별시 서대문구 거북골로 84 (남가좌동, DMC에코자이104동)",37.577386,126.920815,general,145.0
203,스타벅스 신촌역점,서울특별시 서대문구 신촌로 73 (창천동),37.556167,126.934673,general,387.0
204,스타벅스 연희동점,서울특별시 서대문구 연희로 97 (연희동),37.566702,126.930475,general,
205,스타벅스 아현역점,"서울특별시 서대문구 신촌로35길 10 (북아현동, E편한세상신촌 4단지)",37.558421,126.956349,general,311.0
206,스타벅스 홍제역점,서울특별시 서대문구 통일로 451 (홍제동),37.588658,126.943864,general,628.0
207,스타벅스 연세백양로점,서울특별시 서대문구 연세로 50 (신촌동) 연세대학교,37.562644,126.937529,general,318.0
208,스타벅스 연희DT점,서울특별시 서대문구 연희로 144 (연희동),37.5702143,126.9339777,general,1018.0
209,스타벅스 경기대점,서울특별시 서대문구 충정로 53 (충정로2가),37.56367995,126.9646045,general,266.0
210,스타벅스 신촌점,서울특별시 서대문구 연세로 10-1 (창천동),37.55648577,126.9371155,general,669.0
211,스타벅스 이대R점,서울특별시 서대문구 이화여대길 34 (대현동),37.55848315,126.9459643,reserve,298.0
212,스타벅스 연세종합관점,"서울특별시 서대문구 연세로 50, 연세세브란스 종합관 (신촌동)",37.56177145,126.9414708,general,331.0
213,스타벅스 이대ECC점,서울특별시 서대문구 이화여대길 52 (대현동) 이화여자대학교 B415호,37.561631,126.94735,general,320.0
214,스타벅스 연대점,서울특별시 서대문구 연세로 35 (창천동),37.558706,126.936727,general,305.0
215,스타벅스 신촌아트레온점,서울특별시 서대문구 신촌로 129 (창천동),37.556505,126.940238,general,334.0
216,스타벅스 충정로역점,서울특별시 서대문구 충정로 23,37.56137,126.963219,general,292.0
217,스타벅스 연대동문점,서울특별시 서대문구 성산로 565 (대신동),37.566385,126.946273,general,167.0
218,스타벅스 신촌명물거리점,"서울특별시 서대문구 명물길 24, 1-5층 (창천동)",37.557796,126.938095,general,325.0
219,스타벅스 충정타워점,"서울특별시 서대문구 서소문로 21, 충정타워빌딩 1층 (충정로3가)",37.559869,126.96411,general,270.0
220,스타벅스 현대신촌점,서울특별시 서대문구 신촌로 83 (창천동),37.5560830579515,126.935844876509,general,
221,스타벅스 방배로점,서울특별시 서초구 방배로 52 (방배동),37.4793434,126.9994968,general,196.0
222,스타벅스 강남교보타워R점,서울특별시 서초구 강남대로 465 (서초동),37.503789,127.024075,reserve,442.0
223,스타벅스 방배다이치빌딩점,서울특별시 서초구 방배로 114 (방배동),37.484329,126.995872,general,332.0
224,스타벅스 센트럴F1점,서울특별시 서초구 신반포로 176 (반포동),37.505148,127.004395,general,302.0
225,스타벅스 서초역이화빌딩점,서울특별시 서초구 반포대로21길 3 (서초동),37.487931,127.009126,general,287.0
226,스타벅스 서초구청점,서울특별시 서초구 남부순환로 2557 (서초동),37.484206,127.030103,general,391.0
227,스타벅스 서초우성사거리점,서울특별시 서초구 강남대로 343 (서초동),37.493545,127.02943,general,11.0
228,스타벅스 이수역사거리점,"서울특별시 서초구 서초대로 3-4 (방배동, 방배디오슈페리움1)",37.48585,126.983027,general,371.0
229,스타벅스 강남대로신사점,서울특별시 서초구 강남대로 595 (잠원동),37.51489,127.019469,general,315.0
230,스타벅스 서울고속터미널점,서울특별시 서초구 신반포로 194 (반포동),37.504406,127.005648,general,660.0
231,스타벅스 강남대로논현R점,서울특별시 서초구 강남대로85길 5 (반포동),37.507413,127.022568,reserve,274.0
232,스타벅스 방배점,서울특별시 서초구 방배로 211,37.491914,126.99049739999998,general,223.0
233,스타벅스 방배카페거리점,서울특별시 서초구 방배중앙로 162 (방배동),37.4934767,126.9865297,general,337.0
234,스타벅스 서초법원점,서울특별시 서초구 서초대로 274 (서초동),37.49297,127.011875,general,135.0
235,스타벅스 청계산입구역점,서울특별시 서초구 청계산로 203 (신원동),37.447323,127.05625,general,246.0
236,스타벅스 사당로데오점,서울특별시 서초구 방배천로 5-4(방배동),37.4772752,126.98216049999996,general,650.0
